RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
112     0.720497     0.640843     0.606510       0.687147   0.728186     0.470788     0.728186     0.762857     0.432517        0.762857        0.696531     0.516490      0.696531    
113     0.721256     0.640554     0.607418       0.687359   0.727392     0.472532     0.727392     0.763795     0.432635        0.763795        0.694301     0.520535      0.694301    
114     0.719222     0.642479     0.609069       0.688093   0.729129     0.474317     0.729129     0.764760     0.434986        0.764760        0.696670     0.521469      0.696670    
115     0.719792     0.640843     0.608314       0.688056   0.727352     0.473922     0.727352     0.764552     0.433247        0.764552        0.693605     0.523024      0.693605    
116     0.719059     0.641132     0.607664       0.687522   0.728029     0.472635     0.728029     0.763851     0.433238        0.763851        0.695416     0.519913      0.695416    
117     0.717639     0.640169     0.607397       0.688548   0.726901     0.472712     0.726901     0.763893     0.432293        0.763893        0.693326     0.521469      0.693326    
118     0.719175     0.641420     0.607873       0.687931   0.728307     0.472835     0.728307     0.763959     0.433576        0.763959        0.695834     0.519913      0.695834    
119     0.719277     0.642383     0.608656       0.688356   0.729194     0.473654     0.729194     0.764400     0.434737        0.764400        0.697088     0.520224      0.697088    
120     0.718686     0.640554     0.607934       0.688635   0.727153     0.473425     0.727153     0.764281     0.432844        0.764281        0.693465     0.522402      0.693465    
121     0.719411     0.640169     0.607827       0.688220   0.726701     0.473454     0.726701     0.764299     0.432467        0.764299        0.692629     0.523024      0.692629    
122     0.718704     0.640458     0.607434       0.688066   0.727259     0.472614     0.727259     0.763840     0.432558        0.763840        0.694023     0.520846      0.694023    
123     0.718455     0.638052     0.605607       0.688003   0.724973     0.470803     0.724973     0.762850     0.429746        0.762850        0.690679     0.520535      0.690679    
124     0.718992     0.639399     0.606582       0.687861   0.726277     0.471733     0.726277     0.763360     0.431297        0.763360        0.692629     0.520535      0.692629    
125     0.718341     0.637571     0.606547       0.688848   0.723900     0.472697     0.723900     0.763887     0.429735        0.763887        0.687892     0.525202      0.687892    
126     0.718292     0.638918     0.606406       0.687617   0.725731     0.471698     0.725731     0.763340     0.430813        0.763340        0.691654     0.521157      0.691654    
127     0.719630     0.637379     0.605549       0.687214   0.724118     0.471084     0.724118     0.763000     0.429156        0.763000        0.689007     0.522091      0.689007    
128     0.719860     0.637667     0.606359       0.686941   0.724115     0.472320     0.724115     0.763678     0.429737        0.763679        0.688449     0.524269      0.688449    
129     0.718742     0.636416     0.604680       0.687361   0.723264     0.470126     0.723264     0.762471     0.427988        0.762471        0.687892     0.521469      0.687892    
130     0.717948     0.637282     0.605479       0.687669   0.724024     0.471018     0.724024     0.762963     0.429046        0.762963        0.688867     0.522091      0.688867    
131     0.718530     0.636705     0.604717       0.687598   0.723625     0.470027     0.723625     0.762419     0.428243        0.762419        0.688589     0.520846      0.688589    
132     0.717469     0.637379     0.605119       0.687955   0.724320     0.470340     0.724320     0.762594     0.428974        0.762594        0.689703     0.520535      0.689703    
133     0.719684     0.637090     0.605683       0.686925   0.723676     0.471479     0.723676     0.763215     0.428972        0.763215        0.688031     0.523335      0.688031    
134     0.718748     0.637186     0.604379       0.687137   0.724415     0.469164     0.724415     0.761956     0.428498        0.761956        0.690400     0.518357      0.690400    
135     0.719544     0.635550     0.604826       0.687004   0.722055     0.470868     0.722055     0.762872     0.427340        0.762872        0.685384     0.524269      0.685384    
136     0.722120     0.634876     0.603909       0.686270   0.721603     0.469667     0.721603     0.762207     0.426396        0.762207        0.685105     0.522713      0.685105    
137     0.719896     0.636994     0.605442       0.686974   0.723663     0.471116     0.723663     0.763016     0.428790        0.763016        0.688171     0.522713      0.688171    
138     0.719746     0.638052     0.606895       0.687355   0.724368     0.473028     0.724368     0.764069     0.430283        0.764069        0.688589     0.525202      0.688589    
