RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
62      0.779206     0.651140     0.526087       0.573042   0.771769     0.260053     0.771769     0.703997     0.378042        0.703997        0.853978     0.198195      0.853978    
63      0.779026     0.651814     0.526488       0.572653   0.772338     0.260123     0.772338     0.704188     0.379475        0.704188        0.855093     0.197884      0.855093    
64      0.778811     0.651718     0.526161       0.572395   0.772347     0.259161     0.772347     0.704014     0.378815        0.704014        0.855371     0.196951      0.855371    
65      0.778988     0.651525     0.526279       0.572299   0.772106     0.259963     0.772106     0.704086     0.378797        0.704086        0.854675     0.197884      0.854675    
66      0.779333     0.651140     0.526258       0.572072   0.771711     0.260657     0.771711     0.704091     0.378330        0.704091        0.853699     0.198818      0.853699    
67      0.779175     0.651910     0.526558       0.572165   0.772416     0.260176     0.772416     0.704222     0.379701        0.704222        0.855232     0.197884      0.855232    
68      0.778981     0.652488     0.526804       0.572129   0.772936     0.259889     0.772936     0.704332     0.380781        0.704332        0.856347     0.197262      0.856347    
69      0.778836     0.652488     0.526890       0.571971   0.772907     0.260193     0.772907     0.704379     0.380924        0.704379        0.856207     0.197573      0.856207    
70      0.778924     0.652199     0.526509       0.571829   0.772733     0.259426     0.772733     0.704183     0.379952        0.704183        0.856068     0.196951      0.856068    
71      0.778952     0.652391     0.526821       0.571591   0.772830     0.260139     0.772830     0.704345     0.380695        0.704345        0.856068     0.197573      0.856068    
72      0.778781     0.653065     0.527051       0.571867   0.773456     0.259602     0.773456     0.704441     0.381873        0.704441        0.857461     0.196640      0.857461    
73      0.779045     0.652488     0.526890       0.571940   0.772907     0.260193     0.772907     0.704379     0.380924        0.704379        0.856207     0.197573      0.856207    
74      0.778958     0.653258     0.527362       0.571250   0.773553     0.260316     0.773553     0.704603     0.382619        0.704603        0.857461     0.197262      0.857461    
75      0.778777     0.653835     0.527694       0.571105   0.774044     0.260333     0.774044     0.704759     0.383869        0.704759        0.858437     0.196951      0.858437    
76      0.779100     0.652776     0.527185       0.571306   0.773110     0.260656     0.773110     0.704527     0.381753        0.704527        0.856486     0.197884      0.856486    
77      0.778807     0.653450     0.527415       0.570925   0.773735     0.260119     0.773735     0.704623     0.382940        0.704623        0.857879     0.196951      0.857879    
78      0.779181     0.652873     0.527255       0.571308   0.773187     0.260709     0.773187     0.704561     0.381982        0.704561        0.856625     0.197884      0.856625    
79      0.779045     0.653354     0.527260       0.571153   0.773687     0.259762     0.773687     0.704543     0.382567        0.704543        0.857879     0.196640      0.857879    
80      0.779007     0.653450     0.527329       0.570970   0.773764     0.259815     0.773764     0.704577     0.382798        0.704577        0.858019     0.196640      0.858019    
81      0.779370     0.653258     0.527533       0.570866   0.773496     0.260923     0.773496     0.704696     0.382902        0.704696        0.857183     0.197884      0.857183    
82      0.779122     0.653354     0.527088       0.570694   0.773744     0.259153     0.773744     0.704449     0.382282        0.704449        0.858158     0.196017      0.858158    
83      0.779613     0.652873     0.527427       0.571013   0.773130     0.261315     0.773130     0.704655     0.382265        0.704655        0.856347     0.198507      0.856347    
84      0.779277     0.653739     0.527538       0.570688   0.773995     0.259975     0.773995     0.704678     0.383495        0.704678        0.858437     0.196640      0.858437    
85      0.779140     0.653643     0.527297       0.570496   0.773975     0.259313     0.773975     0.704551     0.382979        0.704551        0.858576     0.196017      0.858576    
86      0.779182     0.653354     0.527088       0.570480   0.773744     0.259153     0.773744     0.704449     0.382282        0.704449        0.858158     0.196017      0.858158    
87      0.779095     0.653739     0.527280       0.570376   0.774080     0.259061     0.774080     0.704538     0.383069        0.704538        0.858855     0.195706      0.858855    
88      0.779289     0.653065     0.526965       0.570483   0.773484     0.259297     0.773484     0.704395     0.381730        0.704395        0.857601     0.196329      0.857601    
89      0.779446     0.653161     0.527206       0.570217   0.773504     0.259959     0.773504     0.704522     0.382246        0.704522        0.857461     0.196951      0.857461    
90      0.779041     0.653739     0.527109       0.570046   0.774137     0.258450     0.774137     0.704444     0.382784        0.704444        0.859133     0.195084      0.859133    
91      0.779312     0.654028     0.527919       0.569741   0.774169     0.260744     0.774169     0.704873     0.384475        0.704873        0.858576     0.197262      0.858576    
92      0.779370     0.653835     0.527608       0.569771   0.774072     0.260029     0.774072     0.704712     0.383728        0.704712        0.858576     0.196640      0.858576    
93      0.779648     0.652873     0.527083       0.569838   0.773244     0.260103     0.773244     0.704467     0.381698        0.704467        0.856904     0.197262      0.856904    
94      0.779398     0.653835     0.527694       0.569812   0.774044     0.260333     0.774044     0.704759     0.383869        0.704759        0.858437     0.196951      0.858437    
95      0.779197     0.654797     0.528047       0.569418   0.774926     0.259649     0.774926     0.704909     0.385653        0.704909        0.860387     0.195706      0.860387    
96      0.779542     0.654509     0.527924       0.569718   0.774667     0.259794     0.774667     0.704854     0.385086        0.704854        0.859830     0.196017      0.859830    
97      0.779320     0.654028     0.527489       0.569597   0.774311     0.259221     0.774311     0.704639     0.383771        0.704639        0.859273     0.195706      0.859273    
98      0.778977     0.655182     0.528068       0.569174   0.775318     0.258945     0.775318     0.704903     0.386181        0.704903        0.861363     0.194773      0.861363    
99      0.779251     0.654797     0.527617       0.569308   0.775067     0.258118     0.775067     0.704675     0.384948        0.704675        0.861084     0.194151      0.861084    
100     0.779244     0.654701     0.527462       0.569144   0.775019     0.257758     0.775019     0.704595     0.384568        0.704595        0.861084     0.193839      0.861084    
101     0.779477     0.654509     0.527752       0.569164   0.774724     0.259183     0.774724     0.704761     0.384804        0.704761        0.860109     0.195395      0.860109    
102     0.779409     0.654316     0.527269       0.569232   0.774683     0.257851     0.774683     0.704507     0.383764        0.704507        0.860387     0.194151      0.860387    
103     0.779291     0.655182     0.527896       0.568844   0.775375     0.258332     0.775375     0.704810     0.385900        0.704810        0.861641     0.194151      0.861641    
104     0.779319     0.654797     0.527703       0.568915   0.775039     0.258425     0.775039     0.704722     0.385089        0.704722        0.860945     0.194462      0.860945    
105     0.779447     0.654605     0.527564       0.568655   0.774886     0.258318     0.774886     0.704654     0.384615        0.704654        0.860666     0.194462      0.860666    
106     0.779380     0.654894     0.527601       0.568533   0.775172     0.257864     0.775172     0.704662     0.385043        0.704662        0.861363     0.193839      0.861363    
107     0.779580     0.655182     0.527982       0.568618   0.775346     0.258639     0.775346     0.704856     0.386041        0.704856        0.861502     0.194462      0.861502    
108     0.779495     0.654701     0.527462       0.568275   0.775019     0.257758     0.775019     0.704595     0.384568        0.704595        0.861084     0.193839      0.861084    
109     0.779766     0.654509     0.527408       0.568511   0.774837     0.257958     0.774837     0.704574     0.384236        0.704574        0.860666     0.194151      0.860666    
110     0.779796     0.654894     0.527859       0.568171   0.775088     0.258785     0.775088     0.704802     0.385468        0.704802        0.860945     0.194773      0.860945    
111     0.779833     0.654797     0.527789       0.568253   0.775011     0.258731     0.775011     0.704768     0.385231        0.704768        0.860805     0.194773      0.860805    
