RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
103     0.695219     0.606198     0.548959       0.566132   0.710321     0.385216     0.710321     0.721974     0.372458        0.721974        0.699039     0.398880      0.699039    
104     0.694498     0.607737     0.548442       0.565918   0.712553     0.382611     0.712553     0.721405     0.372786        0.721405        0.703915     0.392968      0.703915    
105     0.694742     0.607641     0.549489       0.565814   0.711934     0.384975     0.711934     0.722190     0.373646        0.722190        0.701965     0.397013      0.701965    
106     0.695000     0.607449     0.549350       0.565919   0.711752     0.384859     0.711752     0.722111     0.373427        0.722111        0.701686     0.397013      0.701686    
107     0.694798     0.606583     0.547778       0.565899   0.711381     0.382291     0.711381     0.721053     0.371622        0.721053        0.701965     0.393591      0.701965    
108     0.694584     0.608315     0.549203       0.565916   0.712936     0.383707     0.712936     0.721897     0.373746        0.721897        0.704194     0.394213      0.704194    
109     0.694439     0.607834     0.548340       0.565904   0.712725     0.382295     0.712725     0.721318     0.372746        0.721318        0.704333     0.392346      0.704333    
110     0.694644     0.607256     0.548695       0.565962   0.711814     0.383628     0.711814     0.721649     0.372762        0.721649        0.702243     0.395146      0.702243    
111     0.695085     0.605909     0.548149       0.565840   0.710335     0.383747     0.710335     0.721408     0.371612        0.721408        0.699596     0.396702      0.699596    
112     0.695121     0.605620     0.548198       0.565949   0.709938     0.384130     0.709938     0.721479     0.371512        0.721479        0.698760     0.397635      0.698760    
113     0.694583     0.606968     0.548400       0.565916   0.711582     0.383268     0.711582     0.721466     0.372359        0.721466        0.701965     0.394835      0.701965    
114     0.694887     0.606775     0.548862       0.565745   0.711114     0.384453     0.711114     0.721832     0.372664        0.721831        0.700711     0.397013      0.700711    
